"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.355911667E0,-2.545905762E0,-3.201841736E-1,3.787124634E-2,2.566240106E0
1.365882667E0,-2.685415649E0,3.279679871E-1,-2.934347992E0,3.991167542E0
1.375853667E0,-2.784808960E0,8.783734131E-1,-5.634433136E0,6.346143519E0
1.385824667E0,-2.307751007E0,1.457219696E0,-8.248896332E0,8.688699249E0
1.395796667E0,-1.555714874E0,2.141446838E0,-8.369844818E0,8.778402224E0
1.405767667E0,-1.184187469E0,3.077151031E0,-8.056995392E0,8.705534629E0
1.415738667E0,-1.382225647E0,3.197051697E0,-8.451874237E0,9.141436726E0
1.425710667E0,-1.435514832E0,1.661095734E0,-8.120313721E0,8.411862861E0
1.435681667E0,-1.174607391E0,4.819976807E-1,-6.513105927E0,6.635704416E0
1.445652667E0,-1.120420074E0,2.375559998E-1,-4.558620300E0,4.700297122E0
1.455624667E0,-8.628057861E-1,3.140469360E-1,-3.171604614E0,3.301838144E0
1.465595667E0,-4.652325439E-1,4.498146057E-1,-2.085612946E0,2.183702328E0
1.475566667E0,-1.294807434E-1,5.739065552E-1,-1.189576263E0,1.327111783E0
1.485537667E0,3.068618774E-2,5.827381897E-1,-5.920188904E-1,8.312711991E-1
1.495509667E0,8.337661743E-2,6.065386963E-1,1.676513672E-1,6.347817195E-1
1.505480667E0,1.136137390E-1,4.849914551E-1,9.560618591E-1,1.078044095E0
1.515451667E0,3.968247986E-1,4.360432434E-1,1.273102570E0,1.402994577E0
1.525423667E0,5.646258545E-1,4.152365112E-1,1.805096283E0,1.936387437E0
1.535394667E0,6.511459351E-1,2.704875183E-1,2.834655304E0,2.921031533E0
1.545365667E0,5.867797852E-1,-1.191522217E-1,3.381917267E0,3.434511926E0
1.555336667E0,3.770658875E-1,-6.135740662E-1,3.962859192E0,4.027766725E0
1.565308667E0,-2.859054565E-2,-1.128203888E0,4.301754456E0,4.447330978E0
1.575279667E0,-1.694476318E-1,-1.324445801E0,4.299209747E0,4.501785605E0
1.585250667E0,1.448986816E-1,-1.256636810E0,4.213887177E0,4.399656445E0
1.595222667E0,7.119195557E-1,-1.027463379E0,4.164489899E0,4.348043993E0
1.605193667E0,1.259929962E0,-3.357518005E-1,4.329746246E0,4.521819914E0
1.615164667E0,1.415905609E0,2.414479065E-1,4.626578979E0,4.844411093E0
1.625135667E0,1.380429382E0,2.369572449E-1,4.977898407E0,5.171190053E0
1.635107667E0,1.291065216E0,-5.539979553E-1,6.465504913E0,6.616382464E0
1.645078833E0,1.141226807E0,-1.873653717E0,9.683363342E0,9.928771449E0
1.655049833E0,7.960446167E-1,-3.194057922E0,1.407508072E1,1.445488119E1
1.665021833E0,2.025737457E0,-3.863914948E0,1.961101868E1,2.009043316E1
1.674992833E0,2.845283203E0,-2.292333069E0,2.296823730E1,2.325704952E1
1.684963833E0,1.806593170E0,1.308129730E0,2.218356903E1,2.229541920E1
1.694935833E0,2.341430969E0,4.209995270E0,2.227802261E1,2.279290790E1
1.704906833E0,5.232818298E0,5.982758789E0,2.744857040E1,2.857621051E1
1.714877833E0,6.681505737E0,6.506669312E0,3.440056366E1,3.564236306E1
1.724848833E0,7.394772491E0,5.887407074E0,3.812347183E1,3.927777141E1
1.734820833E0,7.551346893E0,4.287683716E0,3.983785675E1,4.077329889E1
1.744791833E0,7.955356750E0,2.642754364E0,4.050067841E1,4.135911995E1
1.754762833E0,7.854616241E0,9.868977356E-1,4.064617584E1,4.140990913E1
1.764734833E0,6.607858887E0,-2.624043274E-1,3.994653076E1,4.049022073E1
1.774705833E0,4.371359711E0,-4.040098572E-1,3.610881134E1,3.637469266E1
1.784676833E0,2.294279022E0,-3.498225403E-1,3.055296478E1,3.064098153E1
1.794647833E0,4.848417664E-1,-2.555186462E-1,2.423190948E1,2.423810633E1
1.804619833E0,-8.183482361E-1,-2.246827698E-1,1.767539383E1,1.769575438E1
1.814590833E0,-1.313368835E0,-3.034190369E-1,1.236608459E1,1.243933475E1
1.824561833E0,-1.472338257E0,-2.137554932E-1,8.980724487E0,9.103124940E0
1.834533833E0,-1.504072266E0,1.886077881E-1,6.650669861E0,6.821232724E0
1.844504833E0,-1.548679504E0,4.071533203E-1,4.743186493E0,5.006196175E0
1.854475833E0,-1.735640717E0,3.376977539E-1,3.196752319E0,3.653178597E0
1.864446833E0,-2.032772827E0,2.540217590E-1,6.610253906E-1,2.152590762E0
1.874418833E0,-2.238894196E0,3.366499329E-1,-2.545157318E0,3.406435992E0
1.884389833E0,-2.360591125E0,3.999682617E-1,-5.507796478E0,6.005679572E0
1.894360833E0,-1.985620880E0,7.885601807E-1,-7.772886200E0,8.061158559E0
1.904332833E0,-1.602268066E0,1.731299744E0,-8.553812256E0,8.873126048E0
1.914303833E0,-5.026547241E-1,2.669997711E0,-8.629255371E0,9.046855686E0
1.924274833E0,4.119433594E-1,2.832559662E0,-7.032525787E0,7.592727476E0
1.934245833E0,8.996292114E-2,1.848805389E0,-6.116281128E0,6.390232353E0
1.944217833E0,-1.691482544E-1,7.662565613E-1,-6.375541992E0,6.423651294E0
1.954188833E0,-7.113208008E-1,5.433700562E-2,-5.774841156E0,5.818738709E0
1.964159833E0,-1.384920044E0,-3.820056152E-1,-4.409680023E0,4.637802252E0
1.974131833E0,-1.544937286E0,-6.340814209E-1,-3.001408539E0,3.434726144E0
1.984102833E0,-1.405128021E0,-8.280780029E-1,-1.851799164E0,2.467642210E0
1.994073833E0,-1.251098328E0,-9.707313538E-1,-8.261320496E-1,1.786074061E0
2.004044833E0,-7.821235657E-1,-7.704478455E-1,-1.335223389E-1,1.105954506E0
2.014016833E0,-1.749861145E-1,-2.330653381E-1,1.634600830E-1,3.341538431E-1
2.023987833E0,3.233276367E-1,2.863545227E-1,3.662882996E-1,5.663098019E-1
2.033958833E0,5.857319641E-1,4.861889648E-1,9.794132996E-1,1.240448328E0
2.043930833E0,6.408174133E-1,4.074526978E-1,1.227896576E0,1.443743280E0
2.053901833E0,6.090834045E-1,1.968406677E-1,1.415157166E0,1.553189829E0
2.063872833E0,5.453160095E-1,-1.305285645E-1,1.750160522E0,1.837789191E0
2.073843833E0,1.645079041E-1,-4.408332825E-1,1.595083008E0,1.663035368E0
2.083815833E0,9.849517822E-2,-5.821394348E-1,1.735191650E0,1.832887799E0
2.093786833E0,1.287322998E-2,-5.807922363E-1,1.785636749E0,1.877760353E0
2.103757833E0,-2.543211365E-1,-6.947053528E-1,2.068099365E0,2.196435693E0
2.113729833E0,-2.163002014E-1,-7.030879211E-1,2.268532562E0,2.384818313E0
2.123700833E0,1.710942078E-1,-4.056564331E-1,2.528691559E0,2.566731651E0
2.133671833E0,5.989045715E-1,-5.987548828E-2,3.027454376E0,3.086705648E0
2.143642833E0,8.313711548E-1,-6.436614990E-3,3.079096985E0,3.189366343E0
2.153614833E0,8.394543457E-1,-3.592529297E-3,3.617527313E0,3.713650545E0
2.163585833E0,8.222401428E-1,-3.345542908E-1,5.016368408E0,5.094306374E0
2.173556833E0,9.979747009E-1,-1.098565521E0,7.368427277E0,7.516416715E0
2.183528833E0,9.566606140E-1,-1.830393677E0,1.055904236E1,1.075913175E1
2.193499833E0,1.392404480E0,-1.622775421E0,1.415965485E1,1.432019608E1
2.203470833E0,2.459086304E0,-7.015910339E-1,1.755833725E1,1.774357750E1
2.213441833E0,5.542524261E0,1.852547607E0,2.134276749E1,2.212838069E1
2.223413833E0,1.068223618E1,5.108277283E0,3.076552277E1,3.296546765E1
2.233384833E0,1.557945236E1,6.342610474E0,4.389846268E1,4.701088245E1
2.243355833E0,1.761985931E1,5.203179932E0,5.029316483E1,5.354376669E1
2.253327833E0,1.552511536E1,2.828218689E0,4.913622070E1,5.160810220E1
2.263298833E0,1.211475723E1,1.584904175E0,4.420203140E1,4.585955565E1
2.273269833E0,1.004980133E1,8.415499878E-1,4.111350403E1,4.233233902E1
2.283241833E0,7.622898102E0,-2.700384521E-1,3.858825531E1,3.933490745E1
2.293212833E0,5.253475342E0,-1.310075684E0,3.383593781E1,3.426639737E1
2.303183833E0,3.718118134E0,-1.207838287E0,2.829670670E1,2.856548417E1
2.313154833E0,3.746409302E0,-4.146377563E-2,2.392669418E1,2.421825750E1
2.323126833E0,4.422702942E0,1.338516541E0,2.028880920E1,2.080835666E1
2.333097833E0,4.511019287E0,2.109263763E0,1.668116135E1,1.740860226E1
2.343068833E0,3.545976105E0,2.088906097E0,1.268177811E1,1.333285308E1
2.353039833E0,2.402204590E0,1.935475159E0,9.083410950E0,9.592966458E0
2.363011833E0,1.350940704E0,1.936223602E0,6.214776306E0,6.648116061E0
2.372982833E0,2.918930054E-2,1.910626831E0,2.966980133E0,3.529067584E0
