"t(s)","a(m/s²)"
2.485957917E0,-7.272476807E0
2.495927917E0,-7.621850281E0
2.505897917E0,-8.238118744E0
2.515867917E0,-8.981323242E0
2.525837917E0,-9.721983032E0
2.535807917E0,-1.013542328E1
2.545777917E0,-1.028840515E1
2.555747917E0,-1.023302032E1
2.565717917E0,-9.828561401E0
2.575687917E0,-9.291029205E0
2.585657917E0,-8.754694519E0
2.595627917E0,-8.319998474E0
2.605597917E0,-8.048463135E0
2.615567917E0,-7.877518616E0
2.625537917E0,-7.777526550E0
2.635507917E0,-7.588320007E0
2.645477917E0,-7.361242218E0
2.655447917E0,-7.025640106E0
2.665417917E0,-6.661746826E0
2.675387917E0,-6.276298370E0
2.685357917E0,-5.810317383E0
2.695327917E0,-5.423821106E0
2.705297917E0,-5.228627014E0
2.715267917E0,-5.143154755E0
2.725237917E0,-5.026846619E0
2.735207917E0,-4.928351440E0
2.745177917E0,-4.990322571E0
2.755147917E0,-5.204527130E0
2.765117917E0,-5.370232544E0
2.775087917E0,-5.436245270E0
2.785057917E0,-5.469326477E0
2.795026917E0,-5.350623322E0
2.804996917E0,-5.332211609E0
2.814966917E0,-5.483397217E0
2.824936917E0,-5.645959167E0
2.834906708E0,-5.821843414E0
2.844876708E0,-5.917793884E0
2.854846708E0,-5.982010345E0
2.864816708E0,-6.158343658E0
2.874786708E0,-6.183191986E0
2.884756708E0,-6.299649811E0
2.894726708E0,-6.437662811E0
2.904696708E0,-6.569538574E0
2.914666708E0,-6.700067139E0
2.924636708E0,-6.906487885E0
2.934606708E0,-7.239545288E0
2.944576708E0,-7.531737671E0
2.954546708E0,-7.820487213E0
2.964516708E0,-8.175099792E0
2.974486708E0,-8.560398560E0
2.984456708E0,-8.942104797E0
2.994426708E0,-9.432035980E0
3.004396708E0,-1.002360580E1
3.014366708E0,-1.059287201E1
3.024336708E0,-1.090961334E1
3.034306708E0,-1.083896027E1
3.044276708E0,-1.073522598E1
3.054246708E0,-1.059047699E1
3.064216708E0,-1.046758255E1
3.074186708E0,-1.053868469E1
3.084156708E0,-1.083925964E1
3.094126708E0,-1.122710312E1
3.104096708E0,-1.148801056E1
3.114066708E0,-1.152393585E1
3.124036708E0,-1.137664215E1
3.134006708E0,-1.094104797E1
3.143976708E0,-1.033435959E1
3.153946708E0,-9.782008209E0
3.163916708E0,-9.349108429E0
3.173886708E0,-8.744815063E0
3.183855708E0,-8.286019135E0
3.193826708E0,-8.259524231E0
3.203796708E0,-8.603508911E0
3.213765708E0,-8.900641022E0
3.223735708E0,-8.982820129E0
3.233705708E0,-8.864566040E0
3.243675708E0,-8.573571167E0
3.253645708E0,-8.086035004E0
3.263615708E0,-7.591463470E0
3.273585708E0,-7.134463806E0
3.283555708E0,-6.813231812E0
3.293525708E0,-6.583160248E0
3.303495708E0,-6.377038879E0
3.313465708E0,-6.194718018E0
3.323435708E0,-6.031257935E0
3.333405708E0,-5.785768433E0
3.343375708E0,-5.568869476E0
3.353345708E0,-5.318290558E0
3.363315708E0,-5.044509888E0
3.373285708E0,-4.907395020E0
3.383255708E0,-4.800068207E0
3.393225708E0,-4.540957031E0
3.403195708E0,-4.196672974E0
3.413165708E0,-3.980522461E0
3.423135708E0,-3.933969269E0
3.433105708E0,-4.007915497E0
3.443075708E0,-4.147275696E0
3.453045708E0,-4.427043915E0
3.463015708E0,-4.689148865E0
3.472985708E0,-4.938829651E0
3.482955708E0,-5.205275574E0
3.492925708E0,-5.353766785E0
3.502895708E0,-5.289700012E0
3.512865708E0,-5.466332703E0
3.522835708E0,-5.869594116E0
3.532805708E0,-6.271358643E0
3.542775708E0,-6.764732666E0
3.552744708E0,-7.427704010E0
3.562714708E0,-7.786208496E0
3.572684708E0,-7.983498230E0
3.582654708E0,-8.391849060E0
3.592624708E0,-8.734187164E0
3.602594708E0,-8.836424561E0
3.612564708E0,-9.010811920E0
3.622534708E0,-9.259893951E0
3.632504708E0,-9.319320374E0
3.642474708E0,-9.542805634E0
3.652444708E0,-9.770482178E0
3.662414708E0,-9.581275635E0
3.672384708E0,-9.070687408E0
3.682354708E0,-8.494385834E0
3.692324708E0,-7.916138306E0
3.702294708E0,-7.457941132E0
3.712264708E0,-7.430398407E0
3.722234708E0,-7.927664337E0
3.732204708E0,-8.587492218E0
3.742174708E0,-9.283544769E0
3.752144708E0,-9.902956696E0
