"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.166261708E0,-2.629282379E0,2.994971924E0,6.734495544E-1,4.041845736E0
1.176229708E0,-3.180735626E0,3.083587646E0,-9.310638428E-2,4.431056386E0
1.186197708E0,-3.678899689E0,3.149450684E0,-7.670050049E-1,4.903227427E0
1.196165708E0,-4.312232666E0,3.174748077E0,-1.245709534E0,5.497833042E0
1.206134708E0,-5.225184174E0,3.057990875E0,-1.699266357E0,6.288192427E0
1.216102708E0,-6.093079376E0,2.621049500E0,-2.042203217E0,6.940180887E0
1.226070708E0,-7.594457245E0,1.798060913E0,-2.439626770E0,8.176832068E0
1.236038708E0,-9.712852020E0,1.294807434E-1,-3.184627533E0,1.022243181E1
1.246007708E0,-1.276410690E1,-3.378474426E0,-4.246519318E0,1.386973110E1
1.255975708E0,-1.732886444E1,-9.889634399E0,-5.290747833E0,2.064186096E1
1.265943708E0,-2.219719070E1,-1.811473022E1,-4.422702942E0,2.898998150E1
1.275911708E0,-2.463681747E1,-2.463801498E1,-1.104104004E0,3.486005742E1
1.285880708E0,-2.775423477E1,-2.961980530E1,1.871109009E0,4.063411698E1
1.295848708E0,-3.026661026E1,-3.112133286E1,4.273463287E0,4.362187002E1
1.305816708E0,-3.169254501E1,-3.108525787E1,6.321654053E0,4.484053943E1
1.315785708E0,-3.329660934E1,-3.119602753E1,8.364456024E0,4.638771876E1
1.325753708E0,-3.382231613E1,-3.002127045E1,9.311237183E0,4.617277212E1
1.335721708E0,-3.313763992E1,-2.867407196E1,8.895401917E0,4.471502832E1
1.345689708E0,-3.049623276E1,-2.714170853E1,7.930209045E0,4.158822874E1
1.355658708E0,-2.678829346E1,-2.590408218E1,5.581593018E0,3.768007857E1
1.365626708E0,-2.260149994E1,-2.444551529E1,1.787283325E0,3.334074683E1
1.375594708E0,-1.775427979E1,-2.178419952E1,-2.194436646E0,2.818831942E1
1.385562708E0,-1.328577209E1,-1.810200668E1,-5.276377716E0,2.306587410E1
1.395531708E0,-1.023167313E1,-1.392269760E1,-6.789431305E0,1.856407878E1
1.405499708E0,-8.300688629E0,-9.750872955E0,-6.586752777E0,1.440021761E1
1.415467708E0,-7.274273071E0,-6.059100037E0,-5.216801605E0,1.080938301E1
1.425435708E0,-6.747368774E0,-2.975063324E0,-3.547173615E0,8.182935159E0
1.435404708E0,-6.447691956E0,-5.719606018E-1,-2.197280731E0,6.835781820E0
1.445372708E0,-6.284531250E0,1.284179535E0,-1.387015686E0,6.562641436E0
1.455340708E0,-5.836512909E0,2.801274719E0,-1.052012329E0,6.558868266E0
1.465309708E0,-5.138514404E0,3.870950317E0,-1.046623535E0,6.517975719E0
1.475277708E0,-4.097129974E0,4.488416290E0,-1.280587006E0,6.210656801E0
1.485245708E0,-2.979104919E0,4.530778198E0,-1.588496704E0,5.650339723E0
1.495213708E0,-1.762734375E0,4.137994995E0,-1.955832825E0,4.904642402E0
1.505182708E0,-5.141807556E-1,3.604803772E0,-2.373314667E0,4.346448503E0
1.515150958E0,6.092330933E-1,3.088826752E0,-2.642155609E0,4.110109722E0
