"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.212876708E0,-1.335298233E1,-7.899522858E0,4.189637604E0,1.607039706E1
1.222847708E0,-1.357676697E1,-7.331304474E0,4.112098846E0,1.596828054E1
1.232817708E0,-1.389934616E1,-6.566544800E0,3.766617279E0,1.582715199E1
1.242787708E0,-1.418689819E1,-5.723048859E0,2.926264801E0,1.557512100E1
1.252758708E0,-1.399394943E1,-5.165757751E0,1.728006592E0,1.501671338E1
1.262728708E0,-1.343201797E1,-4.676275635E0,5.788462830E-1,1.423452576E1
1.272698708E0,-1.321122711E1,-4.175716553E0,-3.923341370E-1,1.386099046E1
1.282669708E0,-1.289328827E1,-4.095782776E0,-1.179247742E0,1.357950456E1
1.292639708E0,-1.224932739E1,-4.383334808E0,-1.582060089E0,1.310582160E1
1.302609708E0,-1.139804764E1,-4.606670380E0,-1.533111877E0,1.238900052E1
1.312580708E0,-1.127036316E1,-3.825744324E0,-1.076112213E0,1.195054069E1
1.322550708E0,-1.106798401E1,-3.353775787E0,-8.406518555E-1,1.159546366E1
1.332520708E0,-1.069136719E1,-3.443888397E0,-6.936575317E-1,1.125374873E1
1.342491708E0,-1.053913376E1,-3.817062378E0,-6.029461670E-1,1.122527726E1
1.352461708E0,-1.011671219E1,-4.006717987E0,-4.689747620E-1,1.089135400E1
1.362431708E0,-9.455537109E0,-4.062851257E0,-3.252735901E-1,1.029658901E1
1.372402708E0,-9.068142700E0,-4.161346436E0,-2.040257263E-1,9.979461042E0
1.382372708E0,-8.979526978E0,-4.215982819E0,-1.965412903E-1,9.921947609E0
1.392342708E0,-8.953032074E0,-4.135599976E0,-3.004252625E-1,9.866621804E0
1.402313708E0,-9.057814178E0,-4.054468689E0,-4.641847229E-1,9.934695843E0
1.412283708E0,-9.278155975E0,-4.095483398E0,-7.918533325E-1,1.017271814E1
1.422254708E0,-9.478439484E0,-4.123774567E0,-9.626481628E-1,1.038137868E1
1.432224708E0,-9.659263458E0,-3.900738373E0,-9.041198730E-1,1.045631690E1
1.442194708E0,-9.762698364E0,-3.735182648E0,-7.454498291E-1,1.047938759E1
1.452165708E0,-9.856253815E0,-3.674259338E0,-4.960684204E-1,1.053052728E1
1.462135708E0,-9.955796814E0,-3.679648132E0,-2.896476746E-1,1.061798457E1
1.472105708E0,-9.864187317E0,-3.835773468E0,-2.243833923E-1,1.058610870E1
1.482076708E0,-9.655670929E0,-3.951033783E0,-1.422042847E-1,1.043373716E1
1.492046708E0,-9.395811310E0,-3.968846741E0,-1.594184875E-1,1.020090334E1
1.502016708E0,-9.297914886E0,-4.084406433E0,-3.037184143E-1,1.016001191E1
1.511987708E0,-9.317224731E0,-4.325554962E0,-4.977149963E-1,1.028439705E1
1.521957708E0,-9.332343292E0,-4.566254425E0,-5.993536377E-1,1.040685042E1
1.531927708E0,-9.354646912E0,-4.798122253E0,-6.406677246E-1,1.053289377E1
1.541898708E0,-9.319470062E0,-5.096302185E0,-6.990463257E-1,1.064488065E1
1.551868708E0,-9.344917145E0,-5.431604919E0,-7.478448486E-1,1.083462414E1
1.561838708E0,-9.427395630E0,-5.683231659E0,-7.509883118E-1,1.103353497E1
1.571809708E0,-9.515412598E0,-5.906417542E0,-8.328680420E-1,1.123042805E1
1.581779708E0,-9.640702057E0,-6.099815369E0,-9.707313538E-1,1.144959401E1
1.591749708E0,-9.893975372E0,-6.316714325E0,-1.095871124E0,1.178951068E1
1.601720708E0,-1.018317398E1,-6.617438965E0,-1.202449493E0,1.220382791E1
1.611690708E0,-1.025831772E1,-6.916367340E0,-1.218017120E0,1.243192605E1
1.621660667E0,-1.020787262E1,-7.101532288E0,-1.207239532E0,1.249359242E1
1.631631667E0,-1.027044250E1,-7.262148285E0,-1.238973541E0,1.263945578E1
1.641601667E0,-1.024170227E1,-7.442373505E0,-1.310524750E0,1.272787743E1
1.651571667E0,-1.018511993E1,-7.990084534E0,-1.507066040E0,1.303262702E1
1.661542667E0,-1.017299515E1,-8.538693695E0,-1.678459625E0,1.338717099E1
1.671512667E0,-9.940678253E0,-8.733738098E0,-1.807341614E0,1.335521430E1
1.681482667E0,-9.478888550E0,-8.513545990E0,-1.804647217E0,1.286804356E1
1.691453667E0,-8.918903046E0,-7.961493988E0,-1.661544800E0,1.207033343E1
1.701423667E0,-8.395740967E0,-7.411088562E0,-1.424138489E0,1.128897119E1
1.711393667E0,-8.023614807E0,-7.216193848E0,-1.300345917E0,1.086934900E1
1.721364667E0,-7.668403473E0,-7.232060852E0,-1.212179260E0,1.061020709E1
1.731334667E0,-7.322921906E0,-7.350913696E0,-1.165027313E0,1.044118796E1
1.741304667E0,-7.137607269E0,-7.668852539E0,-1.288520508E0,1.055542618E1
1.751275667E0,-6.966962128E0,-7.941585388E0,-1.456321564E0,1.066434303E1
1.761245667E0,-6.803801422E0,-8.140671387E0,-1.751507721E0,1.075314018E1
1.771215667E0,-6.522087250E0,-8.244255981E0,-2.027683411E0,1.070592727E1
1.781186667E0,-6.150559845E0,-8.176297302E0,-2.254461823E0,1.047682309E1
1.791156667E0,-5.874982910E0,-8.024063873E0,-2.548300781E0,1.026619998E1
1.801127667E0,-5.720504150E0,-7.874375153E0,-2.772833862E0,1.012020550E1
1.811097667E0,-5.783523102E0,-7.666457520E0,-2.864293671E0,1.002137159E1
1.821067667E0,-5.873336334E0,-7.498955841E0,-2.880310364E0,9.951211293E0
1.831038667E0,-5.827830963E0,-7.361092529E0,-2.801125031E0,9.797734350E0
1.841008667E0,-5.691614227E0,-7.267686768E0,-2.694995728E0,9.616483008E0
1.850978667E0,-5.454357605E0,-7.229216766E0,-2.676883392E0,9.443373160E0
1.860949667E0,-5.101391602E0,-7.245233459E0,-2.553839264E0,9.221697194E0
1.870919667E0,-4.710704041E0,-7.227121124E0,-2.325863342E0,8.934856047E0
1.880889667E0,-4.352049866E0,-7.121291199E0,-1.958227844E0,8.572501540E0
1.890860667E0,-4.086951141E0,-6.913972321E0,-1.572779388E0,8.184119860E0
1.900830667E0,-3.847149811E0,-6.628515930E0,-1.176852722E0,7.753887247E0
1.910800667E0,-3.708687744E0,-6.334377594E0,-6.957531738E-1,7.373111742E0
1.920771667E0,-3.606899414E0,-6.072721710E0,-2.171983337E-1,7.066459330E0
1.930741667E0,-3.533551941E0,-5.926475830E0,2.281256104E-1,6.903705264E0
1.940711667E0,-3.437601471E0,-5.867797852E0,6.047424316E-1,6.827435017E0
1.950682667E0,-3.299438782E0,-5.726192322E0,8.858578491E-1,6.667857145E0
1.960652667E0,-3.252436523E0,-5.377866669E0,1.185834045E0,6.395779517E0
1.970622667E0,-3.347189484E0,-5.024451599E0,1.333726501E0,6.182848671E0
1.980593667E0,-3.654500427E0,-4.731810150E0,1.241967316E0,6.106380555E0
1.990563667E0,-4.056564331E0,-4.506528625E0,1.021026764E0,6.148740528E0
2.000533667E0,-4.490811310E0,-4.329596558E0,7.933502197E-1,6.288258673E0
2.010504667E0,-4.957241364E0,-4.188440094E0,5.215155029E-1,6.510702787E0
2.020474667E0,-5.542075195E0,-4.092339935E0,2.944377136E-1,6.895544734E0
2.030444667E0,-6.107599182E0,-4.110452271E0,5.089416504E-3,7.361970629E0
2.040415667E0,-6.492897949E0,-4.158652039E0,-1.811233521E-1,7.712646512E0
2.050385667E0,-6.858138428E0,-4.260290680E0,-3.176394653E-1,8.079915482E0
2.060355667E0,-7.135960693E0,-4.471800842E0,-5.667214966E-1,8.440385717E0
2.070326667E0,-7.231911163E0,-4.681215363E0,-8.267308044E-1,8.654351516E0
2.080296667E0,-7.432643738E0,-4.805756378E0,-1.018032990E0,8.909314141E0
2.090266667E0,-7.790399780E0,-5.018763428E0,-1.291065216E0,9.356557298E0
2.100237667E0,-8.097710724E0,-5.287754059E0,-1.514251099E0,9.789086696E0
2.110207667E0,-8.369994507E0,-5.550158386E0,-1.639241180E0,1.017586251E1
2.120177667E0,-8.829239502E0,-5.840105438E0,-1.648970947E0,1.071360849E1
2.130148667E0,-9.255852356E0,-6.115233307E0,-1.600471802E0,1.120840717E1
2.140118667E0,-9.701625366E0,-6.271358643E0,-1.542242889E0,1.165461227E1
2.150089667E0,-1.001207977E1,-6.266269226E0,-1.409468994E0,1.189514499E1
2.160059667E0,-1.030576904E1,-6.047274628E0,-1.311273193E0,1.202072558E1
2.170029667E0,-1.091440338E1,-5.885161743E0,-1.328188019E0,1.247090267E1
2.180000667E0,-1.156704620E1,-5.771248627E0,-1.404978333E0,1.300299322E1
2.189970667E0,-1.207269470E1,-5.672005005E0,-1.509011993E0,1.342381151E1
2.199940667E0,-1.241548187E1,-5.537883911E0,-1.599124603E0,1.368829967E1
2.209911667E0,-1.273611511E1,-5.467230835E0,-1.646875305E0,1.395748686E1
2.219881667E0,-1.295540909E1,-5.391638031E0,-1.733096008E0,1.413916571E1
