"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.656075583E0,-6.976991272E-1,-1.941462708E-1,-3.977229309E-1,8.262326405E-1
1.666150583E0,-8.072712708E-1,9.250762939E-2,-4.760101318E-2,8.139474323E-1
1.676225583E0,-1.000818787E0,1.402583313E-1,5.095404053E-1,1.131787112E0
1.686301583E0,-1.236578522E0,1.510359192E-1,1.187929688E0,1.721370161E0
1.696376583E0,-1.324296112E0,1.053808594E-1,1.680255890E0,2.141990937E0
1.706452583E0,-1.179397430E0,-1.922003174E-1,1.918260956E0,2.260009813E0
1.716527583E0,-7.020401001E-1,-6.054908752E-1,1.845063171E0,2.064881984E0
1.726603583E0,-8.232879639E-2,-1.048868866E0,1.331032104E0,1.696629126E0
1.736678583E0,3.213816833E-1,-1.365460510E0,8.759783936E-1,1.653815811E0
1.746753583E0,3.249742126E-1,-1.341510315E0,7.360194397E-1,1.564283472E0
1.756829583E0,2.275268555E-2,-1.035696259E0,7.581733704E-1,1.283748918E0
1.766904583E0,-3.382965088E-1,-9.282197571E-1,6.265969849E-1,1.169897528E0
1.776980583E0,-6.831793213E-1,-1.522633667E0,3.010240173E-1,1.695807397E0
1.787055583E0,-9.116043091E-1,-2.488874359E0,2.787203979E-1,2.665183493E0
1.797131583E0,-1.412313080E0,-3.329077148E0,5.860313416E-1,3.663443138E0
1.807206583E0,-2.662962341E0,-4.722080383E0,3.170407104E-1,5.430462815E0
1.817281583E0,-5.382656708E0,-6.633305969E0,-3.345542908E-1,8.549015609E0
1.827357583E0,-9.427395630E0,-8.419391785E0,-7.682025146E-1,1.266302024E1
1.837432583E0,-1.354862549E1,-1.015368530E1,-2.507286072E-1,1.693296910E1
1.847508583E0,-1.746957184E1,-1.305480240E1,-2.784210205E-2,2.180858962E1
1.857583583E0,-2.040960800E1,-1.707139984E1,1.066981201E0,2.662936800E1
1.867659583E0,-2.160547119E1,-2.108949417E1,3.607797546E0,3.040689647E1
1.877734583E0,-2.071422455E1,-2.287393341E1,7.431296539E0,3.174145706E1
1.887809583E0,-2.063578766E1,-2.310205902E1,9.556576996E0,3.241711010E1
1.897885583E0,-2.140848083E1,-2.295281937E1,9.326804810E0,3.274361398E1
1.907960583E0,-2.168615341E1,-2.206905716E1,8.272098083E0,3.202749039E1
1.918036583E0,-2.113020950E1,-2.073652817E1,6.655310211E0,3.034439830E1
1.928111583E0,-1.971071136E1,-1.942690155E1,4.588857422E0,2.805306149E1
1.938187583E0,-1.798195633E1,-1.793824722E1,3.057392120E0,2.558278940E1
1.948262583E0,-1.631442398E1,-1.643642029E1,2.804717560E0,2.332772561E1
1.958337583E0,-1.486468872E1,-1.513562531E1,3.630101166E0,2.152263364E1
1.968413583E0,-1.373573639E1,-1.384201538E1,4.763394470E0,2.007390771E1
1.978488583E0,-1.289478516E1,-1.254780670E1,5.312303009E0,1.876015726E1
1.988564583E0,-1.157183624E1,-1.132410141E1,5.609285431E0,1.713495695E1
1.998639583E0,-9.667945404E0,-9.787247314E0,5.837560730E0,1.494444692E1
2.008715583E0,-7.695497131E0,-8.099357300E0,5.259762268E0,1.234849642E1
2.018790583E0,-5.756279755E0,-6.326294403E0,4.527934113E0,9.677755154E0
2.028865583E0,-4.133953400E0,-4.249962158E0,3.687581635E0,6.982120550E0
2.038941583E0,-2.725681915E0,-2.168390808E0,2.617606659E0,4.356962844E0
2.049016583E0,-1.626817017E0,-5.357359314E-1,1.598825226E0,2.343029811E0
2.059092583E0,-1.131347351E0,3.948788452E-1,6.619235229E-1,1.368948093E0
2.069167583E0,-1.026415558E0,7.292834473E-1,-9.984237671E-2,1.263072343E0
2.079243583E0,-6.018983459E-1,7.011419678E-1,-5.688171387E-1,1.085096593E0
2.089318583E0,-3.367996216E-2,7.439529419E-1,-8.629554749E-1,1.139865111E0
2.099393583E0,7.065307617E-2,7.134164429E-1,-1.288819885E0,1.474792045E0
2.109469583E0,-5.523513794E-2,7.426057434E-1,-1.631756744E0,1.793639954E0
2.119544583E0,-3.746708679E-1,8.183482361E-1,-2.110910339E0,2.294779849E0
2.129620583E0,-4.758604431E-1,7.087760925E-1,-2.636916504E0,2.771666531E0
2.139695583E0,-5.074447632E-1,3.996688843E-1,-2.732118530E0,2.807437812E0
2.149771583E0,-7.339237976E-1,7.349716187E-2,-2.163151703E0,2.285447716E0
2.159846583E0,-1.071022797E0,-1.224453735E-1,-1.348994751E0,1.726809063E0
2.169921583E0,-1.233135681E0,-2.040257263E-1,-4.281097412E-1,1.321184338E0
2.179997583E0,-1.342558136E0,-2.565664673E-1,3.676354980E-1,1.415430874E0
2.190072583E0,-1.578916626E0,-4.281097412E-1,1.027164001E0,1.931662897E0
2.200148583E0,-1.722019043E0,-5.364843750E-1,1.745220795E0,2.509773036E0
2.210223583E0,-2.023192749E0,-5.125341797E-1,2.270777893E0,3.084223148E0
2.220299583E0,-2.371817780E0,-3.646417236E-1,2.439626770E0,3.422026000E0
2.230374583E0,-2.595452728E0,-2.836601257E-1,2.327809296E0,3.497932825E0
2.240449583E0,-2.719245300E0,-3.088078308E-1,1.917961578E0,3.341890767E0
2.250525583E0,-2.728526001E0,-4.260140991E-1,1.382674713E0,3.088386555E0
2.260600583E0,-2.521356812E0,-5.840853882E-1,7.629634094E-1,2.698241849E0
2.270676583E0,-2.177970886E0,-9.839039612E-1,1.133143616E-1,2.392585282E0
2.280751583E0,-1.974693604E0,-1.378932495E0,-2.806663513E-1,2.424797570E0
2.290827583E0,-2.145189056E0,-1.678459625E0,-3.857478333E-1,2.750975135E0
2.300902583E0,-2.525099030E0,-2.101779327E0,-3.725752258E-1,3.306420081E0
2.310977583E0,-3.218457184E0,-2.569706268E0,-3.472778320E-1,4.133093133E0
2.321053583E0,-4.384682007E0,-3.247047729E0,-5.870791626E-1,5.487569335E0
2.331128583E0,-6.413712616E0,-4.789739685E0,-1.274749146E0,8.105695600E0
2.341204583E0,-9.838740234E0,-7.684120789E0,-1.693877563E0,1.259824364E1
2.351279458E0,-1.363559464E1,-1.147139511E1,-1.293609924E0,1.786605086E1
2.361355458E0,-1.670286621E1,-1.543470337E1,-4.317022705E-1,2.274647609E1
2.371430458E0,-1.922931244E1,-1.941432770E1,9.488768005E-1,2.734196306E1
2.381505458E0,-2.045675995E1,-2.256407776E1,2.825075226E0,3.058754130E1
2.391581458E0,-2.021171951E1,-2.411994232E1,4.385131073E0,3.177285945E1
