"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.329783625E0,-1.345477066E1,-6.162534943E0,5.449717255E0,1.577045049E1
1.339857625E0,-1.511332169E1,-7.645501099E0,8.379275208E0,1.889651906E1
1.349932625E0,-1.541464508E1,-8.069269867E0,8.540939026E0,1.938226093E1
1.360006625E0,-1.450917801E1,-8.525221710E0,7.215295715E0,1.831000120E1
1.370081625E0,-1.319985077E1,-9.516161041E0,6.006708984E0,1.734571803E1
1.380155625E0,-1.217867432E1,-1.054916290E1,4.818629608E0,1.681737605E1
1.390229625E0,-1.187241119E1,-1.075199112E1,3.585493927E0,1.641387301E1
1.400304625E0,-1.290451492E1,-1.014410522E1,2.345472565E0,1.658103187E1
1.410378625E0,-1.440843750E1,-8.954379272E0,9.446855164E-1,1.699047998E1
1.420452625E0,-1.547946030E1,-8.427774353E0,4.845423889E-1,1.763167187E1
1.430527625E0,-1.606010284E1,-9.057963867E0,1.306034088E0,1.848457026E1
1.440601625E0,-1.642294830E1,-9.182355194E0,2.886148224E0,1.903572246E1
1.450676625E0,-1.564456696E1,-8.831185455E0,4.485721893E0,1.851658750E1
1.460750625E0,-1.414917664E1,-8.254135437E0,4.983736267E0,1.712213709E1
1.470824625E0,-1.352003494E1,-7.741301880E0,5.054389343E0,1.637882631E1
1.480899625E0,-1.280542099E1,-7.480693817E0,4.773722992E0,1.557973100E1
1.490973625E0,-1.217358490E1,-7.387886810E0,3.851341095E0,1.475160564E1
1.501048625E0,-1.197150513E1,-7.052434387E0,2.891387329E0,1.419203602E1
1.511122625E0,-1.142813507E1,-7.018155670E0,1.998943176E0,1.355922395E1
1.521196625E0,-1.156255554E1,-7.115453339E0,1.688039703E0,1.368107616E1
1.531271625E0,-1.139161102E1,-6.962920532E0,1.842069397E0,1.347754739E1
1.541345625E0,-1.093251572E1,-6.880442047E0,2.382894745E0,1.313539379E1
1.551420625E0,-1.063598236E1,-6.913672943E0,3.368894348E0,1.312525975E1
1.561494625E0,-1.054272629E1,-7.062313843E0,4.299209747E0,1.339808042E1
1.571568625E0,-1.043749512E1,-7.361242218E0,4.609963531E0,1.357869490E1
1.581643625E0,-1.021386017E1,-6.967710571E0,4.662354584E0,1.321398806E1
1.591717625E0,-9.887987823E0,-6.217770081E0,4.036506042E0,1.235825024E1
1.601792625E0,-9.674681396E0,-5.560337219E0,2.865790558E0,1.152083181E1
1.611866625E0,-9.441616058E0,-4.960983582E0,1.793121185E0,1.081530191E1
1.621940625E0,-9.065747681E0,-4.596042480E0,1.166973267E0,1.023099282E1
1.632015625E0,-8.524473267E0,-4.822970581E0,9.422904968E-1,9.839491912E0
1.642089625E0,-8.242908783E0,-5.410199432E0,1.349892883E0,9.951784458E0
1.652164625E0,-7.916287994E0,-5.438789978E0,2.127525787E0,9.837398945E0
1.662238625E0,-7.475005646E0,-4.861290894E0,2.534529419E0,9.269935163E0
1.672312625E0,-7.279063110E0,-4.430636444E0,2.356100464E0,8.841182526E0
1.682387625E0,-7.385042725E0,-4.295018463E0,1.759291534E0,8.722450708E0
1.692461625E0,-7.260501709E0,-4.308340759E0,1.036594391E0,8.505951628E0
1.702535625E0,-7.092850342E0,-4.889132996E0,2.661465454E-1,8.618757532E0
1.712610625E0,-7.251819763E0,-5.611979828E0,-3.832031250E-2,9.169769676E0
1.722684625E0,-7.460635529E0,-6.423143005E0,1.496887207E-2,9.844697691E0
1.732759625E0,-7.242089996E0,-7.239694977E0,-1.019380188E-1,1.024067587E1
1.742833625E0,-6.763984222E0,-7.361990662E0,1.456471252E-1,9.998580007E0
1.752907625E0,-6.630012817E0,-6.392157440E0,9.385482788E-1,9.257300879E0
1.762982625E0,-6.745871887E0,-6.104455719E0,1.752405853E0,9.265100832E0
1.773056625E0,-7.119944000E0,-6.095324707E0,1.758393402E0,9.536169735E0
1.783131625E0,-7.182962952E0,-6.093378754E0,1.375489655E0,9.519253815E0
1.793205625E0,-7.272776184E0,-6.045478363E0,9.627978516E-1,9.506211746E0
1.803279625E0,-7.379204865E0,-6.040688324E0,4.869374084E-1,9.548805574E0
1.813354625E0,-7.148384857E0,-6.368506622E0,2.055226135E-1,9.575986749E0
1.823428625E0,-7.208410034E0,-6.648873596E0,1.023870850E-1,9.807098370E0
1.833503625E0,-7.368576965E0,-6.796466675E0,7.664062500E-2,1.002465758E1
1.843576708E0,-7.503296814E0,-6.950346680E0,9.505233765E-2,1.022818738E1
1.853650708E0,-7.395221558E0,-7.093898163E0,2.859054565E-1,1.025155768E1
1.863725708E0,-7.384593658E0,-7.260352020E0,6.972500610E-1,1.037935897E1
1.873799708E0,-7.500003662E0,-7.614365845E0,9.604028320E-1,1.073084320E1
1.883874708E0,-7.534132690E0,-8.117769012E0,1.236129456E0,1.114402733E1
1.893948708E0,-7.470215607E0,-8.605604553E0,1.594184875E0,1.150660577E1
1.904022708E0,-7.149881744E0,-8.961564331E0,1.523082733E0,1.156504324E1
1.914097708E0,-7.044201508E0,-9.224866791E0,1.351689148E0,1.168529014E1
1.924171708E0,-7.196434937E0,-9.222322083E0,1.268611908E0,1.176644707E1
1.934245708E0,-7.474406891E0,-8.995693359E0,1.274898834E0,1.176497448E1
1.944320708E0,-7.918383636E0,-8.905580750E0,1.231638794E0,1.198027971E1
1.954394708E0,-8.305179291E0,-8.931327209E0,1.419198761E0,1.227838482E1
1.964469708E0,-8.548273773E0,-9.197773132E0,1.501826935E0,1.264624447E1
1.974543708E0,-8.631351013E0,-9.573940887E0,1.641336823E0,1.299440460E1
1.984617708E0,-8.523724823E0,-9.731712799E0,1.923500061E0,1.307898969E1
1.994692708E0,-8.375233612E0,-9.549391937E0,2.202968903E0,1.289141173E1
2.004766708E0,-8.212372284E0,-9.000483398E0,2.512375488E0,1.244040958E1
2.014841708E0,-8.176596680E0,-8.158184967E0,2.788251801E0,1.188221626E1
2.024915708E0,-8.122409363E0,-7.224576416E0,2.765499115E0,1.121677421E1
2.034989708E0,-8.087382202E0,-6.261628876E0,2.496209106E0,1.052828604E1
2.045064708E0,-8.231233063E0,-5.520370331E0,2.286195831E0,1.017125251E1
2.055138708E0,-8.449628906E0,-5.049599304E0,2.007924500E0,1.004621534E1
2.065213708E0,-8.404722290E0,-4.991819458E0,1.615889740E0,9.908012814E0
2.075287708E0,-8.070766754E0,-5.534141693E0,1.136885834E0,9.851726228E0
2.085361708E0,-7.543563080E0,-6.523584137E0,8.008346558E-1,1.000519016E1
2.095436708E0,-7.071444855E0,-7.540868683E0,6.724017334E-1,1.035964077E1
2.105510708E0,-6.778504028E0,-8.359965363E0,6.486012268E-1,1.078229202E1
2.115585708E0,-6.492448883E0,-8.973838806E0,8.173004150E-1,1.110628900E1
2.125659708E0,-6.300997009E0,-9.217232666E0,1.122216339E0,1.122137740E1
2.135733708E0,-6.303392029E0,-9.059460754E0,1.340013428E0,1.111765336E1
2.145808708E0,-6.440207520E0,-8.630303192E0,1.522633667E0,1.087551467E1
2.155882708E0,-6.532715149E0,-8.023465118E0,1.665436707E0,1.047979194E1
2.165956708E0,-6.586603088E0,-7.459288330E0,1.696571960E0,1.009468568E1
2.176031708E0,-6.503076782E0,-7.002138977E0,1.735940094E0,9.712540651E0
2.186105708E0,-6.309978333E0,-6.687193909E0,1.757195892E0,9.360669118E0
2.196180708E0,-6.103707275E0,-6.377937012E0,1.836381226E0,9.016962850E0
2.206254708E0,-5.889951782E0,-6.108796692E0,1.861229553E0,8.687525797E0
2.216328708E0,-5.743855591E0,-6.041436768E0,1.820813599E0,8.532654770E0
2.226403708E0,-5.531896362E0,-6.200106812E0,1.728305969E0,8.487063294E0
2.236477708E0,-5.419031067E0,-6.305337982E0,1.732197876E0,8.492567000E0
2.246552708E0,-5.505251770E0,-6.255491638E0,1.788780212E0,8.522834466E0
2.256626708E0,-5.564827881E0,-6.183191986E0,1.742975464E0,8.499243257E0
2.266700708E0,-5.529651031E0,-6.131100311E0,1.627415771E0,8.415219168E0
2.276775708E0,-5.452411652E0,-6.109844513E0,1.524729309E0,8.329693407E0
2.286849708E0,-5.356910248E0,-6.149961090E0,1.375190277E0,8.271013064E0
2.296924708E0,-5.183720398E0,-6.305637360E0,1.262324982E0,8.259871914E0
2.306998708E0,-4.916975098E0,-6.408772888E0,1.295855255E0,8.180969068E0
2.317072708E0,-4.693639526E0,-6.429729309E0,1.270857239E0,8.061435921E0
2.327147708E0,-4.462071075E0,-6.449488220E0,1.188678131E0,7.932145503E0
2.337221708E0,-4.346661072E0,-6.491999817E0,1.055904236E0,7.883809856E0
2.347296708E0,-4.344266052E0,-6.511908417E0,1.012793884E0,7.893247127E0
2.357370708E0,-4.347708893E0,-6.570736084E0,1.026714935E0,7.945520050E0
2.367444708E0,-4.349804535E0,-6.658902740E0,1.121617584E0,8.032422499E0
2.377519708E0,-4.374802551E0,-6.729406128E0,1.169218597E0,8.111157521E0
2.387593708E0,-4.435276794E0,-6.840774536E0,1.160237274E0,8.234927263E0
2.397667708E0,-4.498146057E0,-6.943610687E0,1.174906769E0,8.356282262E0
2.407742708E0,-4.550387421E0,-7.056775360E0,1.109492798E0,8.469656335E0
2.417816708E0,-4.589007111E0,-7.293133850E0,1.012045441E0,8.676002743E0
2.427891708E0,-4.794829102E0,-7.623646545E0,9.352551270E-1,9.054561001E0
2.437965708E0,-5.097350006E0,-8.070766754E0,8.122109985E-1,9.580184747E0
2.448039708E0,-5.354365540E0,-8.552315369E0,7.360194397E-1,1.011696857E1
